question_n,plot,gt,gt_conf,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
11,"June 1944. Allied Forces stand on the brink: a massive army is secretly assembled on the south coast of Britain, poised to re-take Nazi-occupied Europe. One man stands in their way: Winston Churchill. Behind the iconic figure and rousing speeches: a man who has faced political ridicule, military failure and a speech impediment. An impulsive, sometimes bullying personality - fearful, obsessive and hurting. Fearful of repeating, on his disastrous command, the mass slaughter of 1915, when hundreds of thousands of young men were cut down on the beaches of Gallipoli. Obsessed with fulfilling historical greatness: his destiny. Exhausted by years of war and plagued by depression, Churchill is a shadow of the hero who has resisted Hitler's Blitzkrieg. Should the D-Day landings fail, he is terrified he'll be remembered as an architect of carnage. Political opponents sharpen their knives. General Eisenhower and Field Marshal Montgomery are increasingly frustrated by Churchill's attempts to stop the invasion. King George VI must intervene. Only the support of Churchill's brilliant, yet exasperated wife Clementine can halt the Prime Minister's physical and mental collapse. The untold story of Britain's most celebrated leader, uncovering the true nature of Churchill's herculean war-time status and his vital relationship with ""Clemmie"" - his backbone and total confidant...the love that inspired him to greatness.",Churchill,Darkest Hour,Il ritorno dello Jedi,Churchill,Darkest Hour,Vincitori e vinti,Into the Wild - Nelle terre selvagge,American History X,La donna che canta,Fargo,Il mago di Oz,I don't know
12,"ANTHROPOID is based on the extraordinary true story of Operation Anthropoid, the World War II mission to assassinate SS General Reinhard Heydrich. The Reich's third in command after Hitler and Himmler, Heydrich was the main architect behind the Final Solution and the leader of occupying Nazi forces in Czechoslovakia whose reign of terror prompted self-exiled Czech and Slovak soldiers (played by Cillian Murphy and Jamie Dornan) to hatch a top-secret mission that would change the face of Europe forever.",Anthropoid,The Man with the Iron Heart,Anthropoid,Logan - The Wolverine,Il monello,Andrej Rublev,The Help,Taxi Driver,The Man with the Iron Heart,Donnie Darko,La maledizione della prima luna,I don't know
13,"Living among the wolves in the jungle, young man cub Mowgli quickly learns to live life among his wolf pack and all the animals that inhabit the jungle, but when the villainous tiger Shere Khan threatens Mowgli's life, black panther Bagheera offers to take Mowgli to a nearby man village where he will be safe from the tiger's wrath. Along the way, Mowgli gets tangled up in a series of encounters with a sly snake named Kaa, a swimmingly ruthless gigantopithecus named King Louie and a lazy bear named Baloo, who quickly becomes his guide to the 'bear necessities' of life.",The Jungle Book,Mowgli: Legend of the Jungle,Mowgli: Legend of the Jungle,Il sospetto,Le vite degli altri,Shining,Metropolis,The Wolf of Wall Street,Il castello nel cielo,Million Dollar Baby,The Jungle Book,I don't know
14,"The general public is concerned over having Superman on their planet and letting the ""Dark Knight"" - Batman - pursue the streets of Gotham. While this is happening, a power-phobic Batman tries to attack Superman. Meanwhile, Superman tries to settle on a decision, and Lex Luthor, the criminal mastermind and millionaire, tries to use his own advantages to fight the ""Man of Steel"".",Batman v Superman: Dawn of Justice,Captain America: Civil War,Batman v Superman: Dawn of Justice,Quarto potere,Il Signore degli Anelli - Le due torri,Captain America: Civil War,The Sixth Sense - Il sesto senso,Prisoners,L'attimo fuggente,Full Metal Jacket,Il settimo sigillo,I don't know
15,"From the largest elephant to the smallest shrew, the city of Zootopia is a mammal metropolis where various animals live and thrive. When Judy Hopps becomes the first rabbit to join the police force, she quickly learns how tough it is to enforce the law. Determined to prove herself, Judy jumps at the opportunity to solve a mysterious case. Unfortunately, that means working with Nick Wilde, a wily fox who makes her job even harder.",Zootopia,Sing,Zootopia,Il padrino - Parte II,Sing,Il miglio verde,"Il buono, il brutto, il cattivo",Up,Il Signore degli Anelli - Le due torri,Il mago di Oz,Memento,I don't know
16,"Anti-capitalist Ben Cash lives in the wilderness with his wife, Leslie, and their six children: Bo, Kielyr, Vespyr, Rellian, Zaja, and Nai, whom they have educated, teaching them how to survive along with high-level homeschooling that includes politics and philosophy. Bo has been accepted to leading universities. Then Leslie is hospitalized for bipolar disorder. When she commits suicide, Ben decides to travel to the funeral with his children to fulfill her will of being cremated, instead of the traditional burial that her father Jack wants for his daughter. Jack threatens to call the police and have Ben arrested if he attends the funeral. Along the journey of Ben and his children, Bo meets teenager Claire and falls in love with her. They spend one troubled night with Ben's sister Harper, her husband Dave, and cousins Justin and Jackson. When they arrive at the church, Jack and his wife Abigail are surprised to see them. Ben makes a speech disclosing Leslie's will to the guests, and is expelled from the ceremony. Now Jack wants custody of his grandchildren. What will Ben do?",Captain Fantastic,The Glass Castle,Il delitto perfetto,The Glass Castle,La vita è meravigliosa,Captain Fantastic,Logan - The Wolverine,Full Metal Jacket,Viaggio a Tokyo,Guerre stellari,Il cavaliere oscuro,I don't know
17,"In 1957, in Detroit, a red Plymouth Fury is built and is the cause of two accidents, one of them fatal, still in the assembly line. Twenty-one years later, the outcast and bullied nerd Arnold ""Arnie"" Cunningham is getting a ride with his best and only friend Dennis Guilder and he sees the wrecked car for sale in a garden. Arnie immediately falls in love with the car. The car was given the name Christine by its first owner. He brings the car to a repair shop of the despicable Will Darnell and works hard to restore the classic car. While he works in the restoration, he changes his personality to a cocky teenager and he dates the most beautiful girl in the high-school, Leigh Cabot. Soon Arnie becomes selfish and jealous of the supernatural Christine that kills everyone that is a threat to them.",Christine,Kate Plays Christine,Kate Plays Christine,Christine,Qualcuno volò sul nido del cuculo,Memento,Bastardi senza gloria,La vita è bella,La donna che canta,The Lion King,Rocky,I don't know
18,"Follows David as he moves back home to be with his mother for the year between her giving up her fight against cancer and slowly dying. Davids relationship with his family is, at best, strained (especially in regard to his father) because of an apparent difficulty in accepting his homosexuality. Although the subject matter is genuinely distressing, his mothers death ultimately helps restore his familial bonds and become an integrated part of the family unit again.",Other People,The Hollars,Qualcuno volò sul nido del cuculo,The Hollars,Spider-Man: Un nuovo universo,Rebecca - La prima moglie,Via col vento,La storia fantastica,Other People,Gangs of Wasseypur,Il buio oltre la siepe,I don't know
19,"Coming Through the Rye, set in 1969, is a touching coming of age story of sensitive, 16 yr. old Jamie Schwartz, who is not the most popular kid at his all boys' boarding school. Disconnected from students and teachers, he believes he is destined to play Holden Caulfield, the main character of The Catcher in the Rye, and has adapted the book as a play. After a series of increasingly hostile altercations with the boys at school Jamie runs away to search for JD Salinger. On his way he picks up Deedee Gorlin, a quirky townie. Their odyssey to find Salinger becomes a journey of sexual awakening, the discovery of love and of the meaning of one's life.",Coming Through the Rye,Rebel in the Rye,Coming Through the Rye, La stangata,Una tomba per le lucciole,Indiana Jones e l'ultima crociata,Gandhi,The Wolf of Wall Street,Rebel in the Rye,Intrigo internazionale,L'odio,I don't know
20,"In Freaks of Nature, we welcome you to Dillford, where three days ago, everything was peaceful and business as usual: the vampires were at the top of the social order, the zombies were at the bottom, and the humans were getting along in the middle. But this delicate balance was ripped apart when the alien apocalypse arrived in Dillford and put an end to all the harmony. Now it's humans vs. vampires vs. zombies in all-out, blood-sucking, brain-eating, vamp-staking mortal combat - and all of them are on the run from the aliens. It is up to three teenagers - one human, one vampire, and one zombie - to team up, figure out how to get rid of the interplanetary visitors, and try to restore order to this ""normal"" little town.",Freaks of Nature,Scouts Guide to the Zombie Apocalypse,Freaks of Nature,Prima del tramonto,Donnie Darko,Nuovo Cinema Paradiso,Il Signore degli Anelli - Le due torri,Seven,Casablanca,"Tre manifesti a Ebbing, Missouri",Scouts Guide to the Zombie Apocalypse,I don't know
21,"After the death of his beloved boss M, Bond receives a posthumous message which sends him on the hunt for a deadly assassin. But then a mysterious symbol appears on a ring which sends Bond on a personal vendetta which started in Mexico City. He comes across the widow of his target who gives him information regarding a sinister organization known only as SPECTRE. Bond's trail leads him to a conversation with an old nemesis while retrieving information on his daughter Dr Madeleine Swann, who might hold some crucial information to cracking SPECTRE's secrets. Meanwhile, the new M is having to fight political interference from the mysterious Max Denbigh to keep the MI6 spy branch alive. As Bond pieces together all the clues about SPECTRE, he finds out a horrifying secret which links both him and the enemy whom he must kill.",Spectre,Mission: Impossible – Rogue Nation,Dragon Trainer,Vite vendute,I 400 colpi,Rang De Basanti,Spectre,Luci della città,Il Signore degli Anelli - La compagnia dell'Anello,Mission: Impossible – Rogue Nation,Arancia meccanica,I don't know
22,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive. Millions of miles away, NASA and a team of international scientists work tirelessly to bring ""the Martian"" home, while his crewmates concurrently plot a daring, if not impossible, rescue mission. As these stories of incredible bravery unfold, the world comes together to root for Watney's safe return.",The Martian,Approaching the Unknown,The Martian,Coco,Lawrence d'Arabia,Il delitto perfetto,The Help,La parola ai giurati,Fronte del porto,Alla ricerca di Nemo,Approaching the Unknown,I don't know
23,"Paris, 1920s. Marguerite Dumont is a wealthy woman, lover of the music and the opera. She loves to sing for her friends, although she's not a good singer. Both her friends and her husband have kept her fantasy. The problem begins when she decides to perform in front of a real audience.",Marguerite,Florence Foster Jenkins,Interstellar,Stalker,Rang De Basanti,Mademoiselle,Rocky,Florence Foster Jenkins,Requiem for a Dream,U-Boot 96,Marguerite,I don't know
24,"Woo-jin wakes up in a different body everyday, regardless of age, gender and nationality. Sometimes he's a man, a woman, old, young, or even a foreigner. He's the same person on the inside, but on the outside he's always someone new. Looking at a different face in the mirror every morning is hard for him to get used to. The only constant in his life is the girl he loves, Yi-soo, who knows his secret and loves him anyway. Each time he transforms, Woo-jin must figure out how to reunite with Yi-soo.",The Beauty Inside,Every Day,Chinatown,Butch Cassidy,Ladri di biciclette,La finestra sul cortile,Léon,The Beauty Inside,The Sixth Sense - Il sesto senso,Batman Begins,Every Day,I don't know
25,"What if Apollo 11 never actually made it? What if, in reality, Stanley Kubrick secretly shot the famous images of the moon landing in a studio, working for the US administration? This is the premise of a totally plausible conspiracy theory that takes us to swinging sixties London, where a stubborn CIA agent will never find Kubrick but instead is forced to team up with a lousy manager of a seedy rock band to develop the biggest con of all time, in this riotous, high-tempo action-comedy.",Moonwalkers,Operation Avalanche,Principessa Mononoke,Moonwalkers,The Departed - Il bene e il male,Inside Out,Operation Avalanche,Casablanca,Django Unchained,I migliori anni della nostra vita,Tre colori - Film rosso,I don't know
26,"The year is 1958. The war has been over for thirteen years and the Federal Republic of Germany is not only recovering but even booming. But where are the Nazis? Who has ever heard of the death camps? It looks as if everything is for the best in the best of all possible worlds in this land of milk and honey - At least, until the day journalist Thomas Gnielka reports on the recognition by a German-Jewish artist of a local schoolteacher, a former guard at the Auschwitz concentration camp - At least, until Johann Radmann, a young prosecutor, decides to investigate the case - Nobody knows it yet but this is the dawn of a new era. Even if the road to awareness will be long and rocky.",Labyrinth of Lies,The People vs. Fritz Bauer,Labyrinth of Lies,The Wolf of Wall Street,La maledizione della prima luna,Braveheart - Cuore impavido,Quarto potere,Il Signore degli Anelli - La compagnia dell'Anello,Tangerines - Mandarini,The People vs. Fritz Bauer,Stelle sulla Terra,I don't know
27,"Six high-school friends are chatting through Skype when they receive a message from their former friend Laura Barns, who committed suicide after watching a footage in Internet showing her completely wasted. They believe it is a troll, but soon they learn that something supernatural is happening. Further, their dirty little secrets are exposed while they are mysteriously murdered one by one.",Unfriended,Friend Request,Bastardi senza gloria,Unfriended,U-Boot 96,Casablanca,Coco,Friend Request,Your Name,Warrior,Oldboy,I don't know
28,"When their father passes away, four grown siblings, bruised and banged up by their respective adult lives, are forced to return to their childhood home and live under the same roof together for a week, along with their over-sharing mother and an assortment of spouses, exes and might-have-beens. Confronting their history and the frayed states of their relationships among the people who know and love them best, they ultimately reconnect in hysterical and emotionally affecting ways amid the chaos, humor, heartache and redemption that only families can provide-driving us insane even as they remind us of our truest, and often best, selves.",This Is Where I Leave You,August: Osage County,Il pianista,Bastardi senza gloria,Full Metal Jacket,Il padrino,August: Osage County,This Is Where I Leave You,Oldboy,Mary and Max,Ritorno al futuro,I don't know
29,"A hike alone in the woods ends tragically for Beth Slocum with a fatal snake bite. Her death leaves her parents and boyfriend Zach reeling. After the funeral, Zach tries to make friends with Mr. and Mrs. Slocum, but even they reject him, and he's determined to figure out why. Then he sees Beth. Her parents are trying to keep her resurrection a secret, but zombie Beth provides Zach with the opportunity to do everything with her that he didn't get to do while she was still alive. But with Beth's increasingly erratic behavior and even more strange occurrences around town, life with the undead Beth proves to be particularly complicated for her still-living loved ones.",Life After Beth,Burying the Ex,Tempi moderni,U-Boot 96,Mary and Max,Life After Beth,"Tre manifesti a Ebbing, Missouri",Tre colori - Film rosso,The Prestige,Burying the Ex,Full Metal Jacket,I don't know
30,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",The Equalizer,John Wick,Ben-Hur,Rashomon,Alla ricerca di Nemo,Via col vento,John Wick,Il tesoro della Sierra Madre,The Equalizer,2001: Odissea nello spazio,Chinatown,I don't know
31,"1400 B.C., a tormented soul walked the Earth that was neither man nor god. Hercules was the powerful son of the god king Zeus. For this, he received nothing but suffering his entire life. After twelve arduous labors, and the death of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years, he warmed to the company of six similar souls, their only bond being their love of fighting, and the presence of death. These men and women never question where they go to fight, or why, or whom, just how much they will be paid. Now, the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen, when they must train an army to become as ruthless and bloodthirsty as their reputation has become.",Hercules,The Legend of Hercules,Storie pazzesche,Fargo,Rang De Basanti,Hercules,Le vite degli altri,The Legend of Hercules,La caduta - Gli ultimi giorni di Hitler,Mio padre e mio figlio,Il mago di Oz,I don't know
32,"Two artificial intelligence engineers come together as they work to create the first ever self-aware artificial intelligence. A veteran AI engineer secretly hopes to develop technology to help his diseased daughter, even if it means funding comes from the powerful Ministry of Defence (MoD). His new partner, a young woman gifted in the field of AI, is brought on after her breakthroughs are recognized by the MoD. Things go wrong when the MoD takes over and advances the researchers' work to the next level, teaching the AI to kill and follow MoD instructions with its new and nearly indestructible body.",The Machine,Automata,Dangal,Storie pazzesche,Automata,The Machine,Gangs of Wasseypur,Lawrence d'Arabia,Guerre stellari,American History X,The Prestige,I don't know
33,"Simon is a timid man, scratching out an isolated existence in an indifferent world. He is overlooked at work, scorned by his mother, and ignored by the woman of his dreams. He feels powerless to change any of these things. The arrival of a new co-worker, James, serves to upset the balance. James is both Simons exact physical double and his opposite - confident, charismatic and good with women. To Simons horror, James slowly starts taking over his life.",The Double,Enemy,Qualcuno volò sul nido del cuculo,The Double,Rang De Basanti,Andhadhun,Le iene,Enemy,American Beauty,Orizzonti di gloria,C'era una volta il West,I don't know
34,"All Jay Baruchel expected coming to LA was a fun time with Seth Rogen with all the wild partying to have both by themselves and at James Franco's housewarming party. Suddenly, the Rapture hits and the Biblical Apocalypse has begun. Now, Jay and Seth are desperately sheltering in James' house for rescue along with a few other friends. Together, they must band together to attempt to survive the end of the world, only for Jay to find that they are all too dumb and superficial to do it until they discover the only way out.",This Is the End,The World's End,3 Idiots,This Is the End,Il miglio verde,Fronte del porto,Il caso Spotlight,Schindler's List,Intrigo internazionale,The World's End,Le notti di Cabiria,I don't know
35,"One of the few remaining drone repairmen assigned to Earth, its surface devastated after decades of war with the alien Scavs, discovers a crashed spacecraft with contents that bring into question everything he believed about the war, and may even put the fate of mankind in his hands.",Oblivion,After Earth,After Earth,Rocky,Up,Oblivion,I migliori anni della nostra vita,Monty Python e il Sacro Graal,Inception,Se mi lasci ti cancello,Trainspotting,I don't know
36,"Mike Banning is a Secret Service Agent who is assigned to the President and is close to him and his family. When there's a situation wherein the President and the First Lady's life is endangered and Mike can only save one of them, he saves the President. As a result the President has Mike reassigned to a desk job. A year and a half later, Mike wants to come back but the President, though not holding a grudge, is not ready to have him back. The President has a delegation from South Korea visiting. Shortly after they arrive a plane shows up and when it's told to land it refuses and when aircraft close in on it, they shoot it down. Eventually it crashes at the White House, that's when some people in the crowd pull guns and shoot the secret service agents. Then the Secret Service gets the President into a bunker. Mike who sees what's happening from his office goes there and starts shooting at the attackers. Later in the bunker, some of the people from the delegation pull out guns and shoot all the Secret Service agents. And outside all the Secret Service agents are killed and the shooters take over the White House. Eventually they call the Pentagon where the Speaker of the House is now in charge and the leader in the bunker makes his demands. The Chairman of the Joint Chiefs tells the Speaker they can't give in but to prove he's serious he kills someone and will continue to do so till they give in. But what can they do. Mike, who's in the White House, eventually gets a special cellphone and calls them. He tries to do what he can first by locating the President's son and getting him out. He then goes to save the President.",Olympus Has Fallen,White House Down,Olympus Has Fallen,Shining,Il grande Lebowski,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,White House Down,Il buio oltre la siepe,"Paris, Texas",La città incantata,Nuovo Cinema Paradiso,I don't know
37,"This is the story of two families separated by a wall of war, different in everything, life, religion, beliefs, but are close to one another more than they can ever imagine. The Jewish family discover that their son (Joseph) has a blood group type different from his parents, so his father (Alon) can think of only two explanations: either his wife (Orith) has cheated on him, or the boy is not their son. Meanwhile a family doctor made a research and found that in that year when Orith had delivered her baby 18 years ago a raid hit that hospital, and in the panic of trying to escape and save the infants, the babies were switched by mistake. The problem is that the other baby lives on the other side of the wall, a Muslim from a Palestine family. The film tells the story of how these two families deal with this news, and how from being enemies they need to become a family. (by Dalia Kandalaft)",The Other Son,"Like Father, Like Son",L'appartamento,Ben-Hur,2001: Odissea nello spazio,The Other Son,"Like Father, Like Son",Fronte del porto,L'attimo fuggente,Mad Max: Fury Road,Le notti di Cabiria,I don't know
38,"Adam is a seemingly ordinary guy in a very extraordinary universe. He lives humbly trying to make ends meet, but his romantic spirit holds on to the memory of a girl he loved once upon a time from another world, an inverted affluent world with its own gravity, directly above but beyond reach... a girl named Eden. Their childhood flirtation becomes an impossible love. But when he catches a glimpse of grownup Eden on television, nothing will get in the way of getting her back... Not even the law or science!",Upside Down,Patema Inverted,Patema Inverted,Accadde una notte,Django Unchained,Il grande dittatore,Matrix,The Help,La febbre dell'oro,Upside Down,A qualcuno piace caldo,I don't know
39,"A small group of Australian teens team up to take back their country after an occupying army sweeps in and takes over in this adaptation of John Marsden's best-selling novel. 17 year old Ellie Linton (Caitlin Stasey) and her friends live in the quiet coastal town of Wirrawee. As the holidays draw to a close and school looms on the horizon, Ellie longs for one last adventure before heading back into the classroom. Her wish comes true when her parents agree to let her use the Land Rover for a week camping adventure in Hell, a secluded paradise with a deceptive name. At first, everything is perfect. Ellie and best friends pass their time basking in the sun, and wading in a picturesque waterfall. But the fun comes to a sudden end when the group notices a fleet of unidentified jets cutting through the night sky. Shaken, they return home to find that the entire population of Wirrawee has vanished, and all power has been cut off. The teens' greatest fears are confirmed shortly thereafter, when they discover that the local showgrounds have been transformed into a makeshift prison camp, and that everyone they know has been imprisoned by the invading military. Upon realizing they have been discovered, the teens decide to strike back against the occupiers with everything they've got.","Tomorrow, when the War Began",Red Dawn,"Tomorrow, when the War Began",Furore,Dragon Trainer,Lo squalo,Il miglio verde,Tangerines - Mandarini,Red Dawn,Il delitto perfetto,2001: Odissea nello spazio,I don't know
40,"A naval war ship encounters an alien armada and faces the biggest threat mankind has ever faced. If they lose, the world could face a major extinction event and an alien invasion. Will humans win this alien war, what are the aliens doing here, and what do they want? Based on the Hasbro naval war game.",Battleship,Pacific Rim,Prima dell'alba,Battleship,Memories of Murder,M - Il mostro di Düsseldorf,Pacific Rim,Andrej Rublev,Django Unchained,La parola ai giurati,Via col vento,I don't know
41,"Maya is a CIA operative whose first experience is in the interrogation of prisoners following the Al Qaeda attacks against the U.S. on the 11th September 2001. She is a reluctant participant in extreme duress applied to the detainees, but believes that the truth may only be obtained through such tactics. For several years, she is single-minded in her pursuit of leads to uncover the whereabouts of Al Qaeda's leader, Osama Bin Laden. Finally, in 2011, it appears that her work will pay off, and a U.S. Navy SEAL team is sent to kill or capture Bin Laden. But only Maya is confident Bin Laden is where she says he is.",Zero Dark Thirty,Seal Team Six: The Raid on Osama Bin Laden,The Lion King,Ritorno al futuro,I predatori dell'arca perduta,Zero Dark Thirty,Cantando sotto la pioggia,Viale del tramonto,La febbre dell'oro,Seal Team Six: The Raid on Osama Bin Laden,Shutter Island,I don't know
42,"After a beloved king vanishes, his ruthless wife seizes control of the kingdom and keeps her beautiful 18-year-old stepdaughter, Snow White, hidden away in the palace. But when the princess attracts the attention of a charming and wealthy visiting prince, the jealous Queen banishes the girl to a nearby forest. Taken in by a band of rebellious but kindhearted dwarfs, Snow White blossoms into a brave young woman determined to save her country from the Queen. With the support of her new friends, she roars into action to reclaim her birthright and win back her prince in this magical adventure comedy that will capture the hearts and imaginations of audiences the world over.",Mirror Mirror,Snow White and the Huntsman,La cosa,Il castello nel cielo,Il posto delle fragole,Ben-Hur,L'amore bugiardo - Gone Girl,Shutter Island,Platoon,Mirror Mirror,Snow White and the Huntsman,I don't know
