question_n,plot,gt,gt_conf,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
17,Actress prepares to play a news reporter who killed herself on television in 1974.,Kate Plays Christine,Christine,Alla ricerca di Nemo,Lo squalo,Batman Begins,Seven,Kate Plays Christine,Christine,Il cacciatore,Mio padre e mio figlio,Full Metal Jacket,I don't know
18,A man (John Krasinski) returns home to his dysfunctional family after learning that his mother (Margo Martindale) has a brain tumor.,The Hollars,Other People,The Wolf of Wall Street,Mad Max: Fury Road,Other People,Interstellar,Warrior,"Tre manifesti a Ebbing, Missouri",Aurora,The Hollars,La febbre dell'oro,I don't know
19,"Author J.D. Salinger leads a reclusive lifestyle after the success of his popular and controversial novel ""The Catcher in the Rye.""",Rebel in the Rye,Coming Through the Rye,Amadeus,Django Unchained,C'era una volta il West,Le iene,I bambini del cielo,Coming Through the Rye,Gli spietati,Rebel in the Rye,Furore,I don't know
20,"A reckless janitor accidentally releases a zombie from a laboratory of research. Meanwhile, the teenagers scouts Ben Goudy and Carter Grant decide to camp for the last time since they are too old to be scouts. The problem is that they do not want to harm the feelings of their friend Augie Foster and the Scout Leader Rogers. They have a flat tire after hitting a deer on the road and Carter's sister Kendall Grant, her boyfriend and her friend Chloe stop their Jeep to see whether they need a ride. They invite Ben and Carter to go to a party in the night. The two scouts leave the camping during the night to go to the party. When they drive through the town, they do not see a living soul and they decide to visit a night-club since the bouncer is not at the door. They discover that people have turned into zombies and they team-up with Ben's recent acquaintance Denise Russo, who is bartender in the nightclub, and Augie that was left alone at the camp and came to the town. Soon they discover that the non-infected inhabitants have been evacuated and the town will be bombed by the government. They decide to rescue Kendall but they find that the address her boyfriend gave to them is wrong. What can they do to save Kendall?",Scouts Guide to the Zombie Apocalypse,Freaks of Nature,Scouts Guide to the Zombie Apocalypse,Freaks of Nature,Il pianista,"Paris, Texas",Il cacciatore,A Beautiful Mind,Quinto potere,Oldboy,Room,I don't know
21,"After an excoriating official US government review of its history of questionable missions with high stakes and considerable collateral damage, the IMF is disbanded. Regardless, Ethan Hunt is undeterred from his personal mission to stop a sinister counter-organization to the IMF, the Syndicate. Now a fugitive from the CIA, Hunt secretly calls his colleagues together to accomplish that, which soon also involves a mysterious woman who has an agenda of her own with those criminals. With both sides playing deadly complex games of intrigue, Hunt and his team must take even more risk with difficult options to protect the world.",Mission: Impossible – Rogue Nation,Spectre,Mission: Impossible – Rogue Nation,The Help,I diabolici,L'amore bugiardo - Gone Girl,Spectre,Va' e vedi,Requiem for a Dream,Monty Python e il Sacro Graal,Harry Potter e i Doni della Morte - Parte 2,I don't know
22,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonizing Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.",Approaching the Unknown,The Martian,Barry Lyndon,I soliti sospetti,Trainspotting,Arancia meccanica,M - Il mostro di Düsseldorf,Approaching the Unknown,The Martian,Il buio oltre la siepe,Il grande Lebowski,I don't know
23,"Florence Foster Jenkins, an heiress from NYC, always wanted to be a concert pianist and play Carnegie Hall. An injury in her youth deterred that dream, so she sets out to sing her way to Carnegie Hall, knowing the only way to get there would be, ""Practice, practice, practice"". Her husband supports her venture, and Florence Foster Jenkins' performance at Carnegie Hall becomes a truly historic event.",Florence Foster Jenkins,Marguerite,American Beauty,Shining,Florence Foster Jenkins,Marguerite,A Beautiful Mind,Luci della città,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,Il Signore degli Anelli - La compagnia dell'Anello,Vincitori e vinti,I don't know
24,"Over a period of five years Karen takes her four young children on the long and laborious journey to visit her husband Ian,imprisoned for an unspecified crime. Away from the jail life goes on as the kids get into a fight over a taunt about their father by another school-kid and Karen,feeling lonely,sleeps with Eddie from the pub where she works. Towards the end of his sentence Ian is given a day out to spend with the family and disaster almost strikes after an allegation of drug smuggling,but somehow the family will pull through.",Every Day,The Beauty Inside,Every Day,Django Unchained,L'esorcista,The Sixth Sense - Il sesto senso,Il miglio verde,Vite vendute,Tempi moderni,Il padrino,The Beauty Inside,I don't know
25,"1967, the height of the cold war: the global race to put a man on the moon is afoot. Suspicions are brewing within the CIA that a Russian spy has infiltrated the inner-circle of NASA in an attempt to sabotage the Apollo Program. Two young agents from the CIA's A/V department present a plan to expose the mole, and their supervisors reluctantly agree. They go undercover as filmmakers tasked with documenting the nation's journey from the earth to the moon. To the chagrin of the powers that be, these crack agents uncover a conspiracy far more shocking than Soviet spies - The government is hiding a dark secret about Apollo, and the White House will stop at nothing to silence those who discover it.",Operation Avalanche,Moonwalkers,Mad Max: Fury Road,Il grande Lebowski,Moonwalkers,La donna che canta,Lagaan - C'era una volta in India,The Wolf of Wall Street,Una separazione,Operation Avalanche,Nick mano fredda,I don't know
26,"What happens when a prosecutor tracks down one of the most evil criminals of the century, only to find that politics and corruption prevent him from issuing an arrest warrant? This is the true story of the hunt for the Nazi war criminal Adolf Eichmann — not from the Pov of the Israeli agents that pounced on him in Argentina, but a German prosecutor hemmed in on all sides by Nazi sympathizers in his own government bureaucracy.",The People vs. Fritz Bauer,Labyrinth of Lies,Metropolis,LA Confidential,Into the Wild - Nelle terre selvagge,In the Mood for Love,Gli spietati,Labyrinth of Lies,Dangal,Il segreto dei suoi occhi,The People vs. Fritz Bauer,I don't know
27,"Five girl friends received a Friend Request from a dead girl, whom ever accepted is found murdered.",Friend Request,Unfriended,La grande fuga,Via col vento,Toro scatenato,Alla ricerca di Nemo,Friend Request,Into the Wild - Nelle terre selvagge,Non è un paese per vecchi,Unfriended,Il terzo uomo,I don't know
28,"Violet Weston (Meryl Streep) has cancer and a propensity for pills and alcohol. She's a difficult woman to deal with and her husband has finally had enough. Violet's family gathers including middle daughter Ivy, youngest daughter Karen (with her new fiancé), eldest daughter Barbara (with her separated husband and teenage daughter), and her sister Mattie Fae (with her husband and son in tow). A family tragedy causes tensions to run high and secrets to come out. The Weston women will be forced to examine themselves and their lives whether they want to or not. Welcome to Osage County, Oklahoma in the sweltering heat of August.",August: Osage County,This Is Where I Leave You,A Beautiful Mind,August: Osage County,Requiem for a Dream,Pulp Fiction,Una separazione,Viaggio a Tokyo,Schindler's List,This Is Where I Leave You,La palla n° 13,I don't know
29,"When Max (Yelchin) learns that his new live-in girlfriend, Evelyn (Greene) is controlling and manipulative, he is afraid to end the relationship. However, fate occurs and Evelyn is killed in a freak accident. A couple months have passed and Max meets his dream girl, Olivia (Daddario). The new romance gets tricky when Evelyn comes back from the grave and insists on continuing their once relationship by all means.",Burying the Ex,Life After Beth,Life After Beth,Prisoners,Ritorno al futuro,Burying the Ex,Vivere,Taxi Driver,I migliori anni della nostra vita,Mademoiselle,Kill Bill - Volume 1,I don't know
30,"With the untimely death of his beloved wife still bitter in his mouth, John Wick, the expert former assassin, receives one final gift from her--a precious keepsake to help John find a new meaning in life now that she is gone. But when the arrogant Russian mob prince, Iosef Tarasov, and his men pay Wick a rather unwelcome visit to rob him of his prized 1969 Mustang and his wife's present, the legendary hitman will be forced to unearth his meticulously concealed identity. Blind with revenge, John will immediately unleash a carefully orchestrated maelstrom of destruction against the sophisticated kingpin, Viggo Tarasov, and his family, who are fully aware of his lethal capacity. Now, only blood can quench the boogeyman's thirst for retribution.",John Wick,The Equalizer,Se mi lasci ti cancello,La donna che visse due volte,Shining,Ben-Hur,The Equalizer,Memories of Murder,Butch Cassidy,John Wick,L'attimo fuggente,I don't know
31,"The origin story of Hercules, mythical Greek hero - the son of Zeus, a half-god, half-man blessed with extraordinary strength. Betrayed by his stepfather, the King, and exiled and sold into slavery because of a forbidden love, Hercules must use his formidable powers to fight his way back to his rightful kingdom. Through harrowing battles and gladiator-arena death matches, Hercules embarks on a legendary odyssey to overthrow the King and restore peace to the land.",The Legend of Hercules,Hercules,Viale del tramonto,Quarto potere,Vite vendute,The Legend of Hercules,Logan - The Wolverine,Hercules,M - Il mostro di Düsseldorf,Will Hunting - Genio ribelle,Coco,I don't know
32,"In 2044, solar storms have killed 99.7 % of the world's population and only 21 million people survive. The ROC Corporation has designed and built robots called Automata Pilgrim 7000 to help to rebuild the world. These robots have two security protocols; they can neither harm humans nor alter themselves or other robots. When police officer Sean Wallace shoots a robot and claims that it was altering itself, ROC insurance agent Jacq Vaucan is placed in charge of the investigation. Soon he believes that there is a ""clocksmith"" illegally modifying the robots. Jacq wants to live in the coast and asks his boss and friend Robert Bold to transfer him with his pregnant wife Rachel Vaucan to the coast. Robert offers the possibility if Jacq resolves the case. Jacq and Wallace go to a brothel where the modified robot Cleo attends and Wallace shoots its leg, expecting that the owner will lead them to the clocksmith. They meet Duprè but she is not the clocksmith that is modifying the robots. Soon Jacq discovers who is the responsible for modifying the robots but the Powers that Be in ROC believe that Jacq is the one to be blamed.",Automata,The Machine,Batman Begins,Una tomba per le lucciole,I predatori dell'arca perduta,Va' e vedi,Avengers: Infinity War,Il castello errante di Howl,Automata,The Truman Show,The Machine,I don't know
33,"Adam Bell is a Toronto area History college professor. He is a rather somber man, largely because he is stuck in a routine, which includes a relationship with his live-in girlfriend, Mary. While watching a rental movie, he spots an actor in a bit part that looks like him. He becomes obsessed with finding out about this double of his. He learns that the actor's stage name is Daniel Saint Claire, whose legal name is Anthony Claire. Claire is a Toronto based actor with only a few on-screen credits, and is married to a woman named Helen who is currently several months pregnant. Adam then becomes obsessed with meeting Claire, who he learns upon first sighting that they look exactly the same, from the facial hair to a scar each has, but Claire who outwardly is more ""put together"" than Adam. Their lives become intertwined as Claire himself ends up becoming obsessed with Adam, but in a slightly different way.",Enemy,The Double,Brian di Nazareth,Quarto potere,Una separazione,Blade Runner,The Double,Green Book,Luci della città,Heat - La sfida,Enemy,I don't know
34,"Gary King is determined to reunite his friends from his youth in an attempt to recreate an epic pub crawl from 20 years ago. Their target: ""The Golden Mile"" in their town of Lechtworth, New Haven. Their plan: five friends, twelve pubs, twelve pints, a few random shots, maybe some action with the ladies. Their first attempt failed miserably as they failed to make it to The World's End with the entire crew intact. This time around, they're older, wiser, and ready to get drunk - that is except for Gary's friend Andrew, who has gone sober. Starting with the The First Post, they realize the town may have changed, and they as individuals have changed, but there's something fishy about the town - the main factor is that the residents don't seem to quite recall the events of that epic night. As they hit the next bars on their list - The Old Familiar, The Famous Cock, The Trusty Servant, The King's Head, and so on, they discover that there's something really unusual about the citizens that now inhabit the town, and as they hit each pub, another piece of the conspiracy unravels. However, Gary is determined to make it to the Worlds' End if it winds up killing his whole group, and most of humanity in the process. But does the fate of mankind rest in his hands?",The World's End,This Is the End,Andrej Rublev,Full Metal Jacket,Mary and Max,The World's End,Hotel Rwanda,Il tesoro della Sierra Madre,I predatori dell'arca perduta,"Paris, Texas",This Is the End,I don't know
35,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",After Earth,Oblivion,After Earth,I diabolici,Nuovo Cinema Paradiso,Come vinsi la guerra,Logan - The Wolverine,Oblivion,Stalker,Eva contro Eva,Metropolis,I don't know
36,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",White House Down,Olympus Has Fallen,La cosa,Memories of Murder,Gran Torino,Olympus Has Fallen,Batman Begins,White House Down,Il sospetto,Il gladiatore,Stand by Me - Ricordo di un'estate,I don't know
37,"Ryota is a successful workaholic businessman. When he learns that his biological son was switched with another boy after birth, he faces the difficult decision to choose his true son or the boy he and his wife have raised as their own.","Like Father, Like Son",The Other Son,The Other Son,Léon,"Like Father, Like Son",Lagaan - C'era una volta in India,Million Dollar Baby,Logan - The Wolverine,Dragon Trainer,Barry Lyndon,Mio padre e mio figlio,I don't know
38,Patema and Age leave their community's tunnels to find out why gravity was reversed by an energy experiment.,Patema Inverted,Upside Down,I soliti sospetti,Upside Down,L'odio,The Elephant Man,Patema Inverted,Tre colori - Film rosso,Guardiani della Galassia,Room,Green Book,I don't know
39,"The city of Spokane, Washington is awakened by a North Korean paratrooper invasion. Marine Corps veteran Jed Eckert and his civilian brother, Matt, escape with a group of friends to an isolated cabin in the woods, where they witness the execution of their father at the hands of the ruthless Captain Cho. The brothers unite with their friends to form a guerrilla resistance group--the Wolverines--to drive the invaders from their home.",Red Dawn,"Tomorrow, when the War Began",Per qualche dollaro in più,Tempi moderni,The Prestige,Red Dawn,Ritorno al futuro,American Beauty,"Tomorrow, when the War Began",Your Name,Il grande Lebowski,I don't know
40,"When monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes - a washed up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi) - who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Pacific Rim,Battleship,Battleship,Pacific Rim,La donna che canta,Warrior,Requiem for a Dream,Accadde una notte,La cosa,Seven,Quei bravi ragazzi,I don't know
41,"When the rumored whereabouts of Osama bin Laden are revealed, the CIA readies a team of seasoned U.S. Navy SEALs for the mission of a lifetime. Despite inconclusive evidence that bin Laden is inside the compound, and ignoring the possible ramifications of an unannounced attack on Pakistani soil, the Pentagon orders the attack. The SEAL Team bands together to complete their mission of justice in a riveting final showdown.",Seal Team Six: The Raid on Osama Bin Laden,Zero Dark Thirty,La parola ai giurati,Seal Team Six: The Raid on Osama Bin Laden,Eskiya,Alien,The Prestige,Le ali della libertà,I diabolici,Zero Dark Thirty,Le iene,I don't know
42,"Snow White, imprisoned daughter of the late king, escapes just as the Magic Mirror declares her the source of the Evil Queen's immortality. The Queen sends her men, led by a local huntsman, to bring her back. But upon her capture, the huntsman finds he's being played and turns against the Queen's men, saving Snow White in the process. Meanwhile, Snow's childhood friend, William, learns that she is alive and sets off to save her.",Snow White and the Huntsman,Mirror Mirror,Mirror Mirror,Eva contro Eva,Snow White and the Huntsman,Il padrino - Parte II,City of God,Fronte del porto,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,Ladri di biciclette,3 Idiots,I don't know
43,"In 1959, Alfred Hitchcock and his wife, Alma Reville, are at the top of their creative game as filmmakers amid disquieting insinuations about it being time to retire. To recapture his youth's artistic daring, Alfred decides his next film will adapt the lurid horror novel, Psycho (1960), over everyone's misgivings. Unfortunately, as Alfred self-finances and labors on this film, Alma finally loses patience with his roving eye and controlling habits with his actresses. When an ambitious friend lures her to collaborate on a work of their own, the resulting marital tension colors Alfred's work even as the novel's inspiration haunts his dreams.",Hitchcock,The Girl,The Girl,Il gladiatore,L'attimo fuggente,Tangerines - Mandarini,Hitchcock,C'era una volta in America,Prisoners,Shutter Island,Braveheart - Cuore impavido,I don't know
44,"After a classical string quartet's 25 years of success, Peter, the cellist and oldest member, decides that he must retire when he learns he has Parkinson's Disease. For the others, that announcement proves a catalyst for letting their hidden resentments come to the surface while the married members' daughter has disruptive desires of her own. All this threatens to tear the group apart even as they are famous for playing Beethoven's String Quartet No. 14, opus 131, a piece that is played non-stop no matter how life interferes.",A Late Quartet,Quartet,Stalker,Quartet,The Prestige,Fronte del porto,A Late Quartet,Mio padre e mio figlio,Donnie Darko,Il Signore degli Anelli - Le due torri,La parola ai giurati,I don't know
45,"Earth is doomed to its end within three weeks, with the collision of the asteroid Matilda. The tranquil insurance agent Dodge is left by his wife Linda and tries to keep his routine life. Dodge meets his neighbor Penny that is depressed since she lost the last flight to her hometown to meet her parents and siblings and she delivers to him old correspondences that the postman had wrongly put in her mailbox. Dodge finds a letter from Olivia, who was his high school sweetheart, telling that she had divorced three months ago and missed him. When a rout invades their neighborhood breaking and burning everything, Dodge and Penny drive away from the city and they head to meet Olivia. But along their journey, they fall in love with each other, despite their difference of ages.",Seeking a Friend for the End of the World,Extraterrestrial,Trainspotting,La donna che canta,Extraterrestrial,Eva contro Eva,Batman Begins,Prima del tramonto,Inside Out,Seeking a Friend for the End of the World,Pulp Fiction,I don't know
46,"The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega City One - a vast, violent metropolis where criminals rule the chaotic streets. The only force of order lies with the urban cops called ""Judges"" who possess the combined powers of judge, jury and instant executioner. Known and feared throughout the city, Dredd is the ultimate Judge, challenged with ridding the city of its latest scourge - a dangerous drug epidemic that has users of ""Slo-Mo"" experiencing reality at a fraction of its normal speed. During a routine day on the job, Dredd is assigned to train and evaluate Cassandra Anderson, a rookie with powerful psychic abilities thanks to a genetic mutation. A heinous crime calls them to a neighborhood where fellow Judges rarely dare to venture - a 200 storey vertical slum controlled by prostitute turned drug lord Ma-Ma and her ruthless clan. When they capture one of the clan's inner circle, Ma-Ma overtakes the compound's control center and wages a dirty, vicious war against the Judges that proves she will stop at nothing to protect her empire. With the body count climbing and no way out, Dredd and Anderson must confront the odds and engage in the relentless battle for their survival.",Dredd,The Raid,La battaglia di Hacksaw Ridge,The Raid,Dredd,Una separazione,Principessa Mononoke,Il cavaliere oscuro - Il ritorno,Le iene,Into the Wild - Nelle terre selvagge,Inception,I don't know
47,"Jamie Rellis (Mila Kunis) is a New York City head-hunter trying to sign Los Angeles-based art director Dylan Harper (Justin Timberlake) for her client. When he takes the job and makes the move, they quickly become friends. Their friendship turns into a friendship with benefits, but with Jamie's emotionally damaged past and Dylan's history of being emotionally unavailable, they have to try to not fall for each other the way Hollywood romantic comedies dictate.",Friends with Benefits,No Strings Attached,Storie pazzesche,Grand Budapest Hotel,Friends with Benefits,Requiem for a Dream,The Sixth Sense - Il sesto senso,Logan - The Wolverine,La parola ai giurati,No Strings Attached,Whiplash,I don't know
